#CHROM	POS	LOCUS_ID	Variant_type	DP	QUAL	MQ	FQ	HDR/LCR	Validation	Error	Coding
PyYM_01_v1	154884	1_1	SNP	295	222	49	-282	.	TP	FALSE	CODING
PyYM_01_v1	154958	1_1	SNP	230	222	38	-282	.	TP	FALSE	CODING
PyYM_01_v1	154962	1_1	SNP	223	222	37	-282	.	TP	FALSE	CODING
PyYM_01_v1	154973	1_1	SNP	180	222	32	-282	.	TP	FALSE	CODING
PyYM_01_v1	154974	1_1	SNP	176	222	32	-282	.	TP	FALSE	CODING
PyYM_01_v1	154975	1_1	SNP	174	222	31	-282	.	TP	FALSE	CODING
PyYM_01_v1	154992	1_1	SNP	175	222	29	-282	.	TP	FALSE	CODING
PyYM_01_v1	155003	1_1	INDEL	199	214	29	-249	.	TP	FALSE	CODING
PyYM_01_v1	155050	1_1	SNP	249	143	30	-21	.	TP	FALSE	CODING
PyYM_01_v1	155074	1_1	SNP	NA	NA	NA	NA	.	FN	TRUE	CODING
PyYM_01_v1	155075	1_1	SNP	NA	NA	NA	NA	.	FN	TRUE	CODING
PyYM_01_v1	155076	1_1	SNP	NA	NA	NA	NA	.	FN	TRUE	CODING
PyYM_01_v1	155081	1_1	SNP	277	222	29	-282	.	TP	FALSE	CODING
PyYM_01_v1	155086	1_1	SNP	250	222	29	-282	.	TP	FALSE	CODING
PyYM_01_v1	155087	1_1	SNP	250	222	29	-282	.	TP	FALSE	CODING
PyYM_01_v1	155089	1_1	SNP	250	222	29	-282	.	TP	FALSE	CODING
PyYM_01_v1	155107	1_1	SNP	284	222	29	-282	.	TP	FALSE	CODING
PyYM_01_v1	155113	1_1	SNP	294	222	30	-282	.	TP	FALSE	CODING
PyYM_01_v1	155119	1_1	SNP	291	222	30	-282	.	TP	FALSE	CODING
PyYM_01_v1	155123	1_1	SNP	299	222	32	-282	.	TP	FALSE	CODING
PyYM_01_v1	155128	1_1	SNP	282	222	33	-282	.	TP	FALSE	CODING
PyYM_01_v1	155146	1_1	SNP	293	222	43	-282	.	TP	FALSE	CODING
PyYM_01_v1	155227	1_1	SNP	374	222	56	-282	.	TP	FALSE	CODING
PyYM_01_v1	235350	1_2	INDEL	NA	NA	NA	NA	.	FN	TRUE	INTERGENIC
PyYM_01_v1	235401	1_2	INDEL	235	214	42	-290	.	TP	FALSE	INTERGENIC
PyYM_01_v1	235425	1_2	INDEL	89	7.38	29	-17.6	.	FP	TRUE	INTERGENIC
PyYM_01_v1	235435	1_2	SNP	190	222	52	-120	.	TP	FALSE	INTERGENIC
PyYM_01_v1	235450	1_2	INDEL	161	45.4	37	-43.5	.	TP	FALSE	INTERGENIC
PyYM_01_v1	235502	1_2	SNP	207	222	34	-282	.	TP	FALSE	INTERGENIC
PyYM_01_v1	235593	1_2	SNP	289	222	53	-282	.	TP	FALSE	INTERGENIC
PyYM_01_v1	235601	1_2	SNP	292	222	54	-282	.	TP	FALSE	INTERGENIC
PyYM_01_v1	235623	1_2	SNP	297	222	55	-282	.	TP	FALSE	INTERGENIC
PyYM_03_v1	8278	3_1	SNP	NA	NA	NA	NA	.	FN	TRUE	INTERGENIC
PyYM_03_v1	8389	3_1	SNP	913	24	37	27	.	FP	TRUE	INTERGENIC
PyYM_03_v1	8416	3_1	SNP	506	178	29	-7.78	.	TP	FALSE	INTERGENIC
PyYM_03_v1	8426	3_1	SNP	416	225	25	169	.	FP	TRUE	INTERGENIC
PyYM_03_v1	8444	3_1	SNP	227	102	14	-103	.	TP	FALSE	INTERGENIC
PyYM_03_v1	8445	3_1	INDEL	NA	NA	NA	NA	.	FN	TRUE	INTERGENIC
PyYM_03_v1	8454	3_1	SNP	NA	NA	NA	NA	.	FN	TRUE	INTERGENIC
PyYM_03_v1	8520	3_1	SNP	495	222	31	-282	.	TP	FALSE	INTERGENIC
PyYM_03_v1	8523	3_1	SNP	513	222	31	-282	.	TP	FALSE	INTERGENIC
PyYM_03_v1	8542	3_1	INDEL	NA	NA	NA	NA	.	FN	TRUE	INTERGENIC
PyYM_03_v1	8548	3_1	SNP	935	222	35	-282	.	TP	FALSE	INTERGENIC
PyYM_03_v1	14190	3_2	SNP	1871	222	59	-282	.	TP	FALSE	CODING
PyYM_03_v1	14259	3_2	SNP	1568	222	60	-282	.	TP	FALSE	CODING
PyYM_03_v1	14391	3_2	SNP	1767	225	59	225	.	TP	FALSE	CODING
PyYM_03_v1	433183	3_3	SNP	191	222	33	-282	.	TP	FALSE	CODING
PyYM_03_v1	433205	3_3	SNP	207	222	38	-282	.	TP	FALSE	CODING
PyYM_03_v1	433210	3_3	SNP	206	222	40	-282	.	TP	FALSE	CODING
PyYM_03_v1	433246	3_3	SNP	265	222	46	-282	.	TP	FALSE	CODING
PyYM_03_v1	433338	3_3	SNP	228	222	46	-282	.	TP	FALSE	CODING
PyYM_03_v1	433343	3_3	SNP	226	222	45	-282	.	TP	FALSE	CODING
PyYM_03_v1	433382	3_3	SNP	138	222	35	-282	.	TP	FALSE	CODING
PyYM_03_v1	433390	3_3	SNP	72	152	29	-217	HDR	TP	FALSE	CODING
PyYM_03_v1	433391	3_3	SNP	70	75	29	-108	HDR	TP	FALSE	CODING
PyYM_03_v1	433393	3_3	SNP	61	117	29	-202	HDR	FP	TRUE	CODING
PyYM_03_v1	433395	3_3	SNP	61	120	29	-211	HDR	TP	FALSE	CODING
PyYM_03_v1	433399	3_3	SNP	63	121	29	-217	HDR	TP	FALSE	CODING
PyYM_03_v1	433403	3_3	SNP	64	101	29	-169	HDR	TP	FALSE	CODING
PyYM_03_v1	433412	3_3	SNP	45	80	29	61	HDR	TP	FALSE	CODING
PyYM_03_v1	433414	3_3	SNP	42	100	29	-118	HDR	FP	TRUE	CODING
PyYM_03_v1	433416	3_3	SNP	42	114	29	-153	HDR	TP	FALSE	CODING
PyYM_03_v1	433420	3_3	SNP	50	134	29	-171	HDR	TP	FALSE	CODING
PyYM_03_v1	433424	3_3	SNP	45	112	29	22	HDR	TP	FALSE	CODING
PyYM_03_v1	433433	3_3	SNP	30	126	29	62	LCR	FP	TRUE	CODING
PyYM_03_v1	433435	3_3	SNP	23	145	29	-81	LCR	FP	TRUE	CODING
PyYM_03_v1	433436	3_3	SNP	23	157	29	-96	LCR	FP	TRUE	CODING
PyYM_03_v1	433437	3_3	SNP	24	157	29	-96	LCR	FP	TRUE	CODING
PyYM_03_v1	433441	3_3	SNP	69	222	32	-162	LCR	FP	TRUE	CODING
PyYM_03_v1	433445	3_3	SNP	99	222	32	-157	LCR	FP	TRUE	CODING
PyYM_03_v1	433459	3_3	SNP	129	222	37	-282	.	TP	FALSE	CODING
PyYM_03_v1	433516	3_3	SNP	224	222	46	-282	.	TP	FALSE	CODING
PyYM_03_v1	640219	3_4	SNP	198	222	58	-282	.	TP	FALSE	INTRON
PyYM_03_v1	640254	3_4	SNP	243	222	47	-282	.	TP	FALSE	INTRON
PyYM_03_v1	640284	3_4	SNP	247	222	40	-282	.	TP	FALSE	INTRON
PyYM_03_v1	640317	3_4	INDEL	221	217	32	211	.	TP	FALSE	INTRON
PyYM_03_v1	640340	3_4	SNP	NA	NA	NA	NA	.	FN	TRUE	INTRON
PyYM_03_v1	640405	3_4	SNP	254	222	37	-282	.	TP	FALSE	CODING
PyYM_03_v1	640411	3_4	SNP	252	222	36	-282	.	TP	FALSE	CODING
PyYM_03_v1	640425	3_4	SNP	243	222	33	-282	.	TP	FALSE	CODING
PyYM_03_v1	640431	3_4	SNP	242	222	31	-282	.	TP	FALSE	CODING
PyYM_03_v1	640434	3_4	SNP	236	222	30	-282	.	TP	FALSE	CODING
PyYM_04_v1	278889	4_1	SNP	221	222	34	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	278913	4_1	SNP	198	222	33	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	278940	4_1	INDEL	157	214	32	-290	.	TP	FALSE	INTERGENIC
PyYM_04_v1	278981	4_1	SNP	178	222	32	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	279053	4_1	INDEL	23	84.4	40	-20	.	FP	TRUE	INTERGENIC
PyYM_04_v1	279064	4_1	SNP	294	222	46	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	279116	4_1	SNP	240	222	48	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	279123	4_1	SNP	230	222	47	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	279138	4_1	SNP	194	222	44	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	279161	4_1	SNP	190	222	39	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	279180	4_1	INDEL	165	174	31	-173	.	TP	FALSE	INTERGENIC
PyYM_04_v1	279192	4_1	SNP	NA	NA	NA	NA	.	FN	TRUE	INTERGENIC
PyYM_04_v1	279199	4_1	SNP	166	222	32	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	279206	4_1	SNP	173	222	32	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	279248	4_1	SNP	179	222	35	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	279277	4_1	SNP	182	222	34	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	279286	4_1	SNP	187	222	32	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	318851	4_2	SNP	282	222	49	-282	.	TP	FALSE	CODING
PyYM_04_v1	318858	4_2	SNP	303	222	49	-282	.	TP	FALSE	CODING
PyYM_04_v1	318886	4_2	SNP	100	222	55	-282	.	TP	FALSE	CODING
PyYM_04_v1	318936	4_2	SNP	248	222	46	-282	.	TP	FALSE	CODING
PyYM_04_v1	319041	4_2	INDEL	221	214	29	-290	.	TP	FALSE	CODING
PyYM_04_v1	319094	4_2	INDEL	144	214	31	-285	.	TP	FALSE	CODING
PyYM_04_v1	516194	4_3	SNP	128	150	26	-282	HDR	TP	FALSE	INTRON
PyYM_04_v1	516196	4_3	SNP	128	149	26	-282	HDR	TP	FALSE	INTRON
PyYM_04_v1	516213	4_3	SNP	100	133	26	-282	HDR	TP	FALSE	INTRON
PyYM_04_v1	516215	4_3	SNP	100	133	26	-282	HDR	TP	FALSE	INTRON
PyYM_04_v1	516235	4_3	SNP	42	109	26	-153	HDR	TP	FALSE	INTRON
PyYM_04_v1	516257	4_3	SNP	4	10.4	17	-36	LCR	FP	TRUE	INTRON
PyYM_04_v1	516258	4_3	SNP	4	10.4	17	-36	LCR	FP	TRUE	INTRON
PyYM_04_v1	516269	4_3	SNP	32	110	27	-120	LCR	FP	TRUE	INTRON
PyYM_04_v1	516275	4_3	SNP	35	95	27	-97	LCR	FP	TRUE	INTRON
PyYM_04_v1	516276	4_3	SNP	35	95	27	-97	LCR	FP	TRUE	INTRON
PyYM_04_v1	625917	4_4	SNP	339	222	45	-282	.	TP	FALSE	CODING
PyYM_04_v1	625921	4_4	SNP	331	222	43	-282	.	TP	FALSE	CODING
PyYM_04_v1	625931	4_4	SNP	291	222	41	-282	.	TP	FALSE	CODING
PyYM_04_v1	625944	4_4	SNP	273	222	41	-282	.	TP	FALSE	CODING
PyYM_04_v1	625957	4_4	SNP	242	222	42	-282	.	TP	FALSE	CODING
PyYM_04_v1	625985	4_4	SNP	259	222	51	-282	.	TP	FALSE	CODING
PyYM_04_v1	626053	4_4	SNP	274	222	56	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	626096	4_4	SNP	257	222	57	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	626116	4_4	SNP	279	222	58	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	841573	4_5	SNP	311	222	59	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	841582	4_5	SNP	323	222	58	-282	.	TP	FALSE	INTERGENIC
PyYM_04_v1	841612	4_5	INDEL	NA	NA	NA	NA	.	FN	TRUE	INTERGENIC
PyYM_04_v1	841635	4_5	SNP	350	222	56	-282	.	TP	FALSE	INTERGENIC
